subtype,hemisphere,year,clade_single,fit_total_escape,fit_predicted_prevalence,fit_mutual_information,fit_dissimilarity_charge_hydro,fit_accessibility_wcn,fit_fitness_eve,fit_antigenic_novelty
H3N2,south,2014,3C.3a,0.3937,0.5278,1.0,11.354276131578946,2.1158361999999995,34.881405131578944,78.66631688501761
H3N2,south,2015,3C.2,1.01678,0.26268,0.4997281984571888,9.7977779,3.5174772999999995,72.0446776,86.61170704644928
H3N2,south,2015,3C.3a,1.0122799999999998,0.21725,0.3231484296963711,9.0792654,2.8333318999999992,53.49838270000001,56.37826662135235
H3N2,south,2016,3C.2,0.19913,0.1838499999999999,1.0,6.0662825,1.3214568,18.996765000000003,65.77142480898566
H3N2,south,2016,3C.3a,0.52889,0.1101,1.0,7.250364399999999,2.6985592999999994,41.9059746,56.61589196588447
H3N2,south,2017,3C.2,0.17399,0.1512,0.0612721497553957,3.3764663999999995,1.2554962,23.4043575,42.65031119257783
H3N2,south,2017,3C.2a,0.27562,0.3078499999999999,0.0680560498318576,8.0057238,1.5137939,28.9308774,16.804764555186
H3N2,south,2017,3C.2a1,0.24072000000000002,0.27385,0.1111616768106452,10.6268308,2.005652,38.5055234,88.98073571369845
H3N2,south,2017,3C.3a,2.7577100000000003,0.2891499999999999,0.7585603955671294,15.730111999999998,7.609812799999999,199.669859,176.98397611194156
H3N2,south,2018,3C.2,0.83204,0.1052,0.2435418804782099,10.5297294,3.3207125,61.3297439,132.4006109310938
H3N2,south,2018,3C.2a,0.5267,0.0595,0.0728744939271255,1.5844122,0.9791151999999996,24.9239812,21.076929631441597
H3N2,south,2018,3C.2a1,0.7673099999999999,0.1828666666666666,0.2633105494796448,8.7844911,2.0606624,56.787904,108.03114198481848
H3N2,south,2018,3C.2a1b.1,0.36425250000000003,0.1309,0.2096807063023432,13.6532528,2.5873604999999995,68.47281,54.6515928865927
H3N2,south,2018,3C.2a2,0.7079099999999999,0.1324,0.3224171617957204,10.142838,2.6885377,50.69827389999999,154.50493560955343
H3N2,south,2018,3C.2a3,0.5003,0.17135,0.1220134030180608,11.879622,2.5207141,52.8934031,101.10441483304302
H3N2,south,2018,3C.3a,0.94192,0.09474,0.1083622676153991,11.7138113,3.0469821,71.1257335,69.43937165124031
H3N2,south,2019,3C.2a1,0.2413925,0.0698,0.1471359111238983,4.4081767,1.4244212999999997,47.4016713,12.334944648818682
H3N2,south,2019,3C.2a1b.1,0.4887525000000001,0.0900166666666666,0.4242233808563548,15.1271246,3.5044366999999994,96.2577798,74.69210985775283
H3N2,south,2019,3C.2a1b.2,0.5027699999999999,0.08572,0.3187163400007085,11.4006136,2.6984198,78.31570260000001,8.087797410707985
H3N2,south,2019,3C.2a2,0.4583,0.28055,0.9743589743589745,6.1952463,2.1782389,38.00045659999999,43.59188269371269
H3N2,south,2019,3C.2a3,0.2971825,0.019,0.2295390034713461,10.8847585,1.9739615,49.8354483,6.718351705471532
H3N2,south,2019,3C.3a1,2.08992,0.1118111111111111,0.3755718497881231,15.4537611,6.257838999999999,135.2748992,66.6514559453955
H3N2,south,2020,3C.2a1b.1,0.2262525,0.1475999999999999,0.3553618099704825,8.2820748,2.2551988,50.8356307,418.9480495455189
H3N2,south,2020,3C.2a1b.1b,0.8046525,0.1225,0.2909254899435806,13.9848739,2.962218899999999,59.1155072,215.98800461719395
H3N2,south,2020,3C.2a1b.2,0.4229,0.2177333333333333,0.4510360023327022,8.931878300000001,2.4184385999999995,46.3532699,459.6030268906455
H3N2,south,2020,3C.2a1b.2b,0.6640999999999999,0.1920499999999999,0.377876558556074,11.1561249,2.8203688,58.4352092,360.0765765368264
H3N2,south,2020,3C.3a,0.00996,0.2532,0.0058694057226705,3.2106558,0.5305788999999999,12.4842525,18.38222471686664
H3N2,south,2020,3C.3a1,0.27333,0.0914,0.9121338912133892,5.7396458,1.3147421999999995,28.237974699999995,508.2185723952381
H3N2,south,2021,3C.2a1b.1a,0.8856824999999999,0.275925,0.3874998102303187,13.852167668421052,2.6638986,54.35631005263159,203.69476853045344
H3N2,south,2021,3C.2a1b.1b,0.8979825,0.23045,0.2301881797513801,10.847147815789471,2.5559319,49.472787584210536,115.95661667556848
H3N2,south,2021,3C.2a1b.2a,0.1396,0.1311,0.0987109321128819,5.6475289,1.0665253999999995,19.428924500000004,21.515771877841697
H3N2,south,2021,3C.2a1b.2a.1,0.273,0.1795999999999999,0.0674099706038072,5.979150000000001,1.7571579999999998,31.438445900000005,16.279959378277972
H3N2,south,2021,3C.2a1b.2b,0.76843,0.11154,0.3257997871478361,9.2032447,2.5458354,56.365203300000005,57.44722168231673
H3N2,south,2021,3C.3a1,0.7329199999999999,0.1364,0.6914473017244194,10.2215161,3.8850738,61.9403378,317.27446309781425
H3N2,south,2022,3C.2a1b.2a.1,0.51959,0.1063,0.2809590582863832,3.781781,1.7397268,32.0389101,8.47201530793513
